EndUse,Run name,FuelType,0
Cooling,g_i_2126_dg5_vrf_int,Natural Gas,0
Cooling,g_j_2126_dg6_vrf_int,Electricity,273.02
Cooling,g_j_2126_dg6_vrf_int,Natural Gas,0
Cooling,g_k_2126_tg1_vrf_int,Electricity,345.23
Cooling,g_k_2126_tg1_vrf_int,Natural Gas,0
Cooling,g_l_2126_tg2_vrf_int,Electricity,293.87
Cooling,g_l_2126_tg2_vrf_int,Natural Gas,0
Cooling,g_m_2126_tg3_vrf_int,Electricity,288.41
Cooling,g_m_2126_tg3_vrf_int,Natural Gas,0
Cooling,g_n_2126_tg4_vrf_int,Electricity,243.79
Cooling,g_n_2126_tg4_vrf_int,Natural Gas,0
Cooling,g_o_2126_tg5_vrf_int,Electricity,250.8
Cooling,g_o_2126_tg5_vrf_int,Natural Gas,0
Cooling,g_p_2126_tg6_vrf_int,Electricity,293.72
Cooling,g_p_2126_tg6_vrf_int,Natural Gas,0
Cooling,h_a_2126_dg_init_wtw,Electricity,450.74
Cooling,h_a_2126_dg_init_wtw,Natural Gas,0
Cooling,h_b_2126_dg0_wtw,Electricity,574.8
Cooling,h_b_2126_dg0_wtw,Natural Gas,0
Cooling,h_c_2126_dg4_wtw,Electricity,427.07
Cooling,h_c_2126_dg4_wtw,Natural Gas,0
Cooling,h_d_2126_dg5_wtw,Electricity,471.79
Cooling,h_d_2126_dg5_wtw,Natural Gas,0
Cooling,h_e_2126_dg6_wtw,Electricity,526.81
Cooling,h_e_2126_dg6_wtw,Natural Gas,0
Cooling,h_f_2126_tg4_wtw,Electricity,454.36
Cooling,h_f_2126_tg4_wtw,Natural Gas,0
Cooling,h_g_2126_tg5_wtw,Electricity,465.67
Cooling,h_g_2126_tg5_wtw,Natural Gas,0
Cooling,h_h_2126_tg6_wtw,Electricity,549.19
Cooling,h_h_2126_tg6_wtw,Natural Gas,0
Cooling,i_a_2126_dg_init_vav_int,Electricity,464.09
Cooling,i_a_2126_dg_init_vav_int,Natural Gas,0
Cooling,i_b_2126_dg5k,Electricity,527.03
Cooling,i_b_2126_dg5k,Natural Gas,0
Cooling,i_c_2126_tg5k,Electricity,501.49
Cooling,i_c_2126_tg5k,Natural Gas,0
Cooling,i_d_2126_tg5x,Electricity,509.06
Cooling,i_d_2126_tg5x,Natural Gas,0
Cooling,i_e_2126_ccf,Electricity,404.94
Cooling,i_e_2126_ccf,Natural Gas,0
Cooling,i_f_2126_dg_vacuum,Electricity,540.98
Cooling,i_f_2126_dg_vacuum,Natural Gas,0
Cooling,i_g_2126_dg_smart,Electricity,400.8
Cooling,i_g_2126_dg_smart,Natural Gas,0
Cooling,i_h_2126_dsf_min,Electricity,335.8563417
Cooling,i_h_2126_dsf_min,Natural Gas,0
Cooling,i_i_2126_dsf_mean,Electricity,374.3972333
Cooling,i_i_2126_dsf_mean,Natural Gas,0
Cooling,i_j_2126_dsf_max,Electricity,407.4322833
Cooling,i_j_2126_dsf_max,Natural Gas,0
Cooling,j_a_2124_dg_init,Electricity,659.62
Cooling,j_a_2124_dg_init,Natural Gas,0
Cooling,j_b_2124_dg0,Electricity,891.71
Cooling,j_b_2124_dg0,Natural Gas,0
Cooling,j_c_2124_dg4,Electricity,557.94
Cooling,j_c_2124_dg4,Natural Gas,0
Cooling,j_d_2124_dg5,Electricity,641.52
Cooling,j_d_2124_dg5,Natural Gas,0
Cooling,j_e_2124_dg6,Electricity,743.44
Cooling,j_e_2124_dg6,Natural Gas,0
Cooling,j_f_2124_tg4,Electricity,597.54
Cooling,j_f_2124_tg4,Natural Gas,0
Cooling,j_g_2124_tg5,Electricity,617.88
Cooling,j_g_2124_tg5,Natural Gas,0
Cooling,j_h_2124_tg6,Electricity,769.37
Cooling,j_h_2124_tg6,Natural Gas,0
Cooling,k_a_1927_dg_init_ext,Electricity,312.94
Cooling,k_a_1927_dg_init_ext,Natural Gas,0
Cooling,k_b_1927_dg0_ext,Electricity,366.16
Cooling,k_b_1927_dg0_ext,Natural Gas,0
