,"market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, triple glazing, two coatings, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, ccf","market for curtain wall, double skin facade"
102,168.49685507565172,206.30470300409274,167.64178856551572,193.74940906508817,162.8629970593959,193.6213216700774,234.88520054431845,169.2973598219143,137.1144635717216,698.6796154480189,173.9834799935904,136.2558706745899,457.69845188813554,297.6882372665781
103,169.75302635026233,204.98398880584284,168.9470324683409,195.4239767832587,163.73522831697812,195.21322917785042,230.88604074142566,170.6790077895238,137.40779434470247,726.453390044814,173.83241241459154,136.59847688435286,455.56672437306133,299.07402443591326
104,186.40320509367325,222.0078762139481,185.1942334447586,213.29881161082946,179.80976778215077,213.465890690892,253.8328250660751,186.91612683125675,151.67335434523017,773.8194248589874,189.46522651281953,150.45939758749353,477.13608701020905,328.6042484631318
105,179.75484823520404,215.87448394173418,178.91313330908062,205.27009846971558,174.1897683925317,204.69185301122891,244.83948752179316,180.6279330621361,148.01855961379698,926.4967087100069,184.50444903877107,147.17337357482643,466.7019791363746,320.76160582961455
106,187.82599607554516,228.74450372672322,186.51383405619805,214.72454653520418,181.29243488941663,214.81630835284432,247.78709064803493,188.63929297281865,153.06394923846685,868.7857937295652,193.47793188408986,151.74637689772553,474.5714165987942,329.71478237075667
107,175.69737511869198,212.0560773093796,174.72036960729164,201.4408936813877,170.0286268863778,201.1856610621448,232.76714322895717,176.2584245941322,143.47344641751252,906.0035358123175,180.15557743701447,142.492413181206,460.2055453482322,312.4326636138821
108,208.55202656251979,246.0843922485175,207.88014277929682,234.98479041304086,203.7561668522151,234.6854379712147,274.62127266389155,209.74959490265948,176.76206142818506,786.5747295670504,213.57961846265144,176.08740687802086,508.80752283856987,376.6107603094161
109,171.78806380255864,207.8606206177782,170.54437389310092,197.26865602396882,165.22424053198347,197.36894943545371,246.4988665288718,172.37372794988707,138.84664242908465,876.6845561544119,175.790210413616,137.59782493729597,456.4590791708499,301.7927505122725
110,174.85394954096714,212.56314666629933,174.11250232192307,200.8743275320337,169.75012753646428,200.7040778093776,241.80493429124803,175.68585458723098,143.21685054661037,699.6292323828105,180.04203503298686,142.47234442327883,466.9612586778387,310.44356334884566
111,182.09965747489707,217.07948202775623,181.36587253729482,208.1972043852078,176.62590934998607,207.88191021103597,250.6658623125262,183.47127936959393,150.221029842401,718.3506501012504,185.9646587764603,149.4842191095735,484.221831803586,325.7160046957958
